"","category","NfreqLIG","NfreqTOS","NfreqPIE"
"1","Institution",301,703,57
"2","Media",1401,273,468
"3","others",26874,1571,1551
"4","Volunteer_NGO",227,82,103
"5","Weather",1129,536,282
