"category","NfreqLIG","N_uniqueLIG","NfreqTOS","N_uniqueTOS","NfreqPIE","N_uniquePIE"
"Institution","2232","97","1187","114","93","13"
"Media","3914","120","431","66","375","39"
"others","23295","1419","346","95","466","93"
"Volunteer_NGO","1108","43","50","14","37","12"
"Weather","2893","135","792","42","1043","34"
