"category","NfreqLIG","N_uniqueLIG","NfreqTOS","N_uniqueTOS","NfreqPIE","N_uniquePIE"
"Institution","301","128","703","150","57","38"
"Media","1401","251","273","127","468","116"
"others","26874","9290","1571","1076","1551","1005"
"Volunteer_NGO","227","69","82","48","103","41"
"Weather","1129","193","536","83","282","56"
