"data","retweeted_authors","authors"
"2014-11-04",NA,"Lequazione"
"2014-11-04",NA,"Lequazione"
"2014-11-04",NA,"Lequazione"
"2014-11-04",NA,"emabelli13"
"2014-11-04",NA,"Lequazione"
"2014-11-04",NA,"provinciacuneo"
"2014-11-04",NA,"ITnewsCN"
"2014-11-04",NA,"silviaindump"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"Beppeley"
"2014-11-04",NA,"Beppeley"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"FabioTolio"
"2014-11-04",NA,"CRIcuneo"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"serpilloc"
"2014-11-04",NA,"valenitna"
"2014-11-04",NA,"Beppeley"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"federicoorta"
"2014-11-04",NA,"PCProvAL"
"2014-11-04",NA,"CRIcuneo"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"Ba_Bars"
"2014-11-04",NA,"usurana"
"2014-11-04",NA,"SimonettaZanchi"
"2014-11-04",NA,"InfolabLeone"
"2014-11-04",NA,"tifizifiafanafa"
"2014-11-04",NA,"tifizifiafanafa"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"EleGianinetto"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"Beppeley"
"2014-11-04",NA,"gatta_selvatica"
"2014-11-04",NA,"PistoneMoris"
"2014-11-04",NA,"Reportermilano"
"2014-11-04",NA,"PNGranParadiso"
"2014-11-04",NA,"AnpasPiemonte"
"2014-11-04",NA,"3dartmike"
"2014-11-04",NA,"Italian_Moments"
"2014-11-04",NA,"UnioneMregalese"
"2014-11-04",NA,"UnioneMregalese"
"2014-11-04",NA,"Uff_StampaCFE"
"2014-11-04",NA,"lanuovagazzetta"
"2014-11-04",NA,"SnowMatty"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"p_giampaolo"
"2014-11-04",NA,"federicoorta"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"aranciaverde"
"2014-11-04",NA,"tecnoboss"
"2014-11-04",NA,"Beppeley"
"2014-11-04",NA,"tranellio"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"RRiboni"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"serpilloc"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"sirgolly"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"sirgolly"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"usurana"
"2014-11-04",NA,"ValentinaEve"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"cielomiomarito"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"cielomiomarito"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"micaela_tatiana"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"usurana"
"2014-11-04",NA,"GraziaTardo"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"aranciaverde"
"2014-11-04",NA,"annabelladellac"
"2014-11-04",NA,"annabelladellac"
"2014-11-04",NA,"comunedianom"
"2014-11-04",NA,"MCamiglia"
"2014-11-04",NA,"quotidianopiem"
