"","category","NfreqLIG","NfreqTOS","NfreqPIE"
"1","Institution",2232,1187,93
"2","Media",3914,431,375
"3","others",23295,346,466
"4","Volunteer_NGO",1108,50,37
"5","Weather",2893,792,1043
