"","mentions","freq","cat"
"906","idibus2001",1,"others"
"907","ilpiccolonews",1,"Media"
"908","ilpost",1,NA
"909","imperiapost",1,NA
"910","infooggi",1,NA
"911","insopportabile",1,"others"
"912","ipiombo",1,"others"
"913","itconti",1,"others"
"914","jackmantegazza",1,NA
"915","jessicanicolinitrovato",1,NA
"916","juanmjm",1,"others"
"917","krikali",1,"others"
"918","lacharlot82",1,"others"
"919","ladylattuga",1,"others"
"920","lagea62",1,"others"
"921","lavalebellotti",1,NA
"922","laviticolalo",1,"others"
"923","lavoroculturale",1,"others"
"924","lcrame",1,"others"
"925","letteredasopra",1,"others"
"926","ligurianotizie",1,NA
"927","lollogol",1,"others"
"928","london_4_ever",1,NA
"929","lorenzojova",1,NA
"930","lorenzotrimarch",1,"others"
"931","lottirob",1,"others"
"932","lpasquarelli010",1,"others"
"933","lucaottonello",1,"others"
"934","lucapagnotta",1,"others"
"935","lucasardella",1,"others"
"936","lucianaruello",1,"others"
"937","ludvictv",1,NA
"938","luigi_morgano",1,"others"
"939","maky_1980",1,NA
"940","marcofuscagni",1,NA
"941","marcoimarisio",1,NA
"942","marcoleema",1,"others"
"943","marcopreve",1,NA
"944","marg_ab",1,"others"
"945","mariobandini",1,NA
"946","martinaboroni",1,"others"
"947","massigiribaldi",1,"others"
"948","matteosalvinimi",1,NA
"949","mattimentos",1,"others"
"950","mauroboccaccionuovo",1,NA
"951","mau_romeo",1,"others"
"952","maxpaiella",1,"others"
"953","meriluis_",1,"others"
"954","meteogerena",1,NA
"955","meteolante",1,NA
"956","meteomtc",1,NA
"957","meteoriviera",1,"Weather"
"958","mgenovesi79",1,"others"
"959","michela_moretti",1,NA
"960","micheledalena",1,"others"
"961","michy29aprile",1,"others"
"962","milanoics",1,"others"
"963","mirenzo61",1,"others"
"964","mirko9989fr",1,"others"
"965","mistersilvera",1,"others"
"966","mitamoni",1,NA
"967","mlanf",1,"others"
"968","montecitorio",1,NA
"969","monterossina75",1,"others"
"970","montindavide",1,"others"
"971","movittone",1,"others"
"972","mparotz",1,"others"
"973","mtassi69",1,"others"
"974","m_zoccarato",1,"others"
"975","natizevi",1,"others"
"976","_nemesi6_",1,"others"
"977","ne_sp",1,"others"
"978","nicoconcas",1,"others"
"979","nicola92749670",1,"others"
"980","nkiuky",1,"others"
"981","nomfup",1,NA
"982","nunziaped",1,"others"
"983","oculus",1,NA
"984","ogiannino",1,NA
"985","orsini70",1,NA
"986","ossmete",1,NA
"987","owldwh",1,"others"
"988","p2003c",1,NA
"989","paola_14_21",1,"others"
"990","paoladelusa",1,"others"
"991","paolatavernam5s",1,NA
"992","paolo_rus",1,NA
"993","paolotiscornia",1,"others"
"994","parodi_ennio",1,NA
"995","pasquino2000",1,"others"
"996","pdliguria",1,NA
"997","pesopiuma",1,"others"
"998","pierocillario",1,NA
"999","pietrafocolare",1,"others"
"1000","portodigenova",1,"Institution"
"1001","primocanaleallertameteolig",1,NA
"1002","procivarci",1,NA
"1003","purpleleni",1,"others"
"1004","quotidianonet",1,NA
"1005","r",1,NA
"1006","radio3tweet",1,NA
"1007","raffaellab5",1,"others"
"1008","raffaellapaitaattivate",1,NA
"1009","raitre",1,NA
"1010","rapallopfemmine",1,NA
"1011","repub",1,NA
"1012","retenergie",1,NA
"1013","rewasp1973",1,"others"
"1014","riccardoluna",1,NA
"1015","ricks1973",1,"others"
"1016","ricpuglisi",1,"others"
"1017","riparteilfuturo",1,NA
"1018","rob_castellano",1,"others"
"1019","robertore62",1,"others"
"1020","robyg70",1,"others"
"1021","rossipresidente",1,NA
"1022","rottersclubx",1,"others"
"1023","rugby24it",1,"others"
"1024","sangiulioroma",1,"others"
"1025","sbcgenova",1,"others"
"1026","sdam85",1,"others"
"1027","seimitica_90",1,"others"
"1028","se_ivana",1,NA
"1029","s_emarti",1,NA
"1030","sergionapl",1,"others"
"1031","shanidar4",1,"others"
"1032","sharethis",1,NA
"1033","shimuhea",1,"others"
"1034","silviacariello",1,"others"
"1035","silvia_valenti",1,NA
"1036","simionatotania",1,"others"
"1037","simo101170",1,"others"
"1038","simoformica",1,"others"
"1039","simonecarta",1,"others"
"1040","skyscanner",1,NA
"1041","sole24ore",1,NA
"1042","soniagenova",1,"others"
"1043","spviadalcarbone",1,NA
"1044","stea66",1,"others"
"1045","stefanocatone",1,NA
"1046","stefanoceccanti",1,NA
"1047","steffy1967",1,"others"
"1048","stefgrasso",1,"others"
"1049","studio1radiotv",1,NA
"1050","svogliano",1,"others"
"1051","tarchivolto",1,NA
"1052","tenoriomlgz",1,"others"
"1053","terry1581",1,"others"
"1054","tg2rai",1,NA
"1055","tiquetaki",1,"others"
"1056","tk_italia",1,NA
"1057","tluigi15",1,"others"
"1058","tomas1374",1,"others"
"1059","tonyhoney74",1,"others"
"1060","tosovale",1,"others"
"1061","treluci",1,"others"
"1062","tripvillage",1,NA
"1063","ttmobile_",1,"others"
"1064","ufostufo75",1,NA
"1065","urban68genova",1,"others"
"1066","vab_lombardia",1,"Volunteer_NGO"
"1067","valentinaeffe",1,"others"
"1068","verotretter",1,"others"
"1069","vfeltri",1,NA
"1070","vi_cos",1,"others"
"1071","vitanonprofit",1,NA
"1072","vito_romaniello",1,NA
"1073","vittoriopasteris",1,"others"
"1074","wetteronline",1,NA
"1075","whufc_official",1,NA
"1076","zio_ale",1,"others"
