"category","Nfreq","N_unique"
"Emergency","37452","348"
"Places","22453","861"
"others","2607","574"
"Weather","2549","116"
"Outside_Places","1635","133"
"Institution","401","112"
"Mobility","383","57"
"Media","131","35"
"Social_Media","29","8"
"Time","13","7"
