"","authors","freq","cat"
"183","racchetta26",3,"Volunteer_NGO"
"184","RinoBucci",3,"others"
"185","SLorenzoaGreve",3,"others"
"186","sologiuly1",3,"others"
"187","StixRegini",3,"others"
"188","Toscana24News",3,"Media"
"189","TTNews24",3,"Media"
"190","turismomaremma",3,"Institution"
"191","vabtoscana",3,"Volunteer_NGO"
"192","xetibor",3,"others"
"193","_JoeT11",2,"others"
"194","1marcoo",2,"others"
"195","aa_foresee",2,"others"
"196","abunabuana",2,"others"
"197","AdePisano",2,"others"
"198","anna_dtt",2,"others"
"199","asquirix",2,"others"
"200","azzurrab1976",2,"others"
"201","bc_emergenza",2,"Volunteer_NGO"
"202","BeatrixKiddoD",2,"others"
"203","berlinste",2,"others"
"204","caleochi",2,"others"
"205","calogerog",2,"others"
"206","caremani",2,"others"
"207","ChiaraBianchini",2,"others"
"208","chiarapellegri9",2,"others"
"209","Cinziamas",2,"others"
"210","Cisiamocisom",2,"others"
"211","classmeteo",2,"Weather"
"212","CMeteo",2,"Weather"
"213","comCavriglia",2,"Institution"
"214","ComuneEmpoli",2,"Institution"
"215","comunefi",2,"Institution"
"216","ComuneMontelupo",2,"Institution"
"217","crisangiovanni",2,"Volunteer_NGO"
"218","crislomb",2,"Volunteer_NGO"
"219","danielecina",2,"others"
"220","DanieleConfetti",2,"others"
"221","danife75",2,"others"
"222","dariocafiero2",2,"others"
"223","DelDottoSindaco",2,"others"
"224","do_navari",2,"others"
"225","EffimeraAlkimia",2,"others"
"226","El_tuga1",2,"others"
"227","elenoire1966",2,"others"
"228","elihh3",2,"others"
"229","EmanueleFirenze",2,"others"
"230","erykaluna",2,"others"
"231","FabioIozzi",2,"others"
"232","ForzaCarrara",2,"others"
"233","gabrielezagni",2,"others"
"234","genesdegenes",2,"others"
"235","GenoniLara",2,"others"
"236","Genova4Tourist",2,"others"
"237","GFonio",2,"others"
"238","GiacomoSanavio",2,"others"
"239","gianni_nucci",2,"others"
"240","Gimar69Marchini",2,"others"
"241","giosivi",2,"others"
"242","giusyrus",2,"others"
"243","Holiday_lopez",2,"others"
"244","HumanityRoad",2,"others"
"245","italia_24news",2,"Media"
"246","Italy_global",2,"others"
"247","Ivatamy",2,"others"
"248","Juri_Prato",2,"others"
"249","klab_wellness",2,"others"
"250","LaconicaMente",2,"others"
"251","LaTiger1",2,"others"
"252","lobiagini",2,"others"
"253","Lonnivora",2,"others"
"254","LorenziTania",2,"others"
"255","LucaNatale70",2,"others"
"256","LucasDC1406",2,"others"
"257","lucialivatino",2,"others"
"258","MarianneMoruzzi",2,"others"
"259","MartelliStefano",2,"others"
"260","massitognetti",2,"others"
"261","MatteoBernabe",2,"others"
"262","MatteoPrato",2,"others"
"263","mcdellamico",2,"others"
"264","mcristinaorsini",2,"others"
"265","MeucciLaNazione",2,"others"
"266","MGabbrielli",2,"others"
"267","michelapanigada",2,"others"
"268","MonicaMarini_fi",2,"others"
"269","oneto81",2,"others"
"270","orsini_federico",2,"others"
"271","paolacsc",2,"others"
"272","paolocolomboLA7",2,"others"
"273","patrizia6119",2,"others"
"274","pianetagenoa",2,"others"
"275","piciaro",2,"others"
"276","PubAssSigna",2,"Volunteer_NGO"
"277","QuiNewsVolterra",2,"Media"
"278","ReteMeteoAmator",2,"Weather"
"279","Robbetta",2,"others"
"280","RobertoLargiu",2,"others"
"281","rossipresidente",2,"Institution"
"282","RossiRossi573",2,"others"
"283","sange77",2,"others"
"284","Serfiss",2,"others"
