"hashtag","freq"
"#allertameteolig",29957
"#genova",5707
"#chiavari",2102
"#alluvionegenova",1567
"#allerta2",1130
"#liguria",1020
"#polcevera",662
"#alluvione",629
"#voltri",550
"#maltempo",533
"#albenga",464
