"mentions","freq"
"miti_vigliero",3176
"primocanale",2611
"frabaraghini",2185
"tweetty84",1447
"farmaciaserrage",1120
"protcivilege",974
"emergenza24",941
"ilsecoloxix",892
"3bmeteo",740
"allertameteolig",577
"stefaniaconti",574
