"","hashtag","freq","cat"
"195","#trameteo",2,"others"
"196","#ve",2,"others"
"197","#abbadia",1,"Places"
"198","#alle",1,"others"
"199","#allertamentelig",1,"Emergency"
"200","#allertameteosic",1,"Emergency"
"201","#alluvionetos",1,"Emergency"
"202","#alluvioni",1,"Emergency"
"203","#arancio",1,"Emergency"
"204","#boccadiserchio",1,"Places"
"205","#bonagente",1,"others"
"206","#brattello",1,"Places"
"207","#buonconvento",1,"Places"
"208","#candia_scurtarola",1,"Places"
"209","#castiglione",1,"Places"
"210","#chianciano",1,"Places"
"211","#co",1,"others"
"212","#codiponte",1,"Places"
"213","#colareta",1,"others"
"214","#collesalvetti",1,"Places"
"215","#colombo",1,"others"
"216","#comunerioelba",1,"Places"
"217","#cortona",1,"Places"
"218","#cri",1,"Institution"
"219","#cronacameteo",1,"Weather"
"220","#cutigliano",1,"Places"
"221","#denunciailpatto",1,"others"
"222","#dicomano",1,"Places"
"223","#difesadelsuolo",1,"others"
"224","#evacuazioni",1,"Emergency"
"225","#fi",1,"Places"
"226","#firenz",1,"others"
"227","#gaiaspa",1,"Institution"
"228","#gaib",1,"others"
"229","#gragnola",1,"Places"
"230","#grossetano",1,"Places"
"231","#instagram",1,"Social_Media"
"232","#is",1,"others"
"233","#lajatico",1,"Places"
"234","#laspezia",1,"Places"
"235","#mariomtv",1,"Media"
"236","#massam",1,"others"
"237","#massamari",1,"others"
"238","#metato",1,"Places"
"239","#meteovaldarno",1,"Places"
"240","#montecatinivaldicecina",1,"Places"
"241","#montepisano",1,"Places"
"242","#montieri",1,"Places"
"243","#mugello",1,"Places"
"244","#mugnone",1,"Places"
"245","#navacchio",1,"Places"
"246","#nonabband",1,"others"
"247","#nonabbandonarelacittá",1,"others"
"248","#occupycarrara",1,"Places"
"249","#paura",1,"others"
"250","#piemonte",1,"Places"
"251","#piena",1,"Weather"
"252","#pomarance",1,"Places"
"253","#ponteginori",1,"Places"
"254","#ripafratta",1,"Places"
"255","#sanvincenzo",1,"Places"
"256","#sardegna",1,"Places"
"257","#scarperia",1,"Places"
"258","#secchio",1,"others"
"259","#servizi",1,"others"
"260","#sestino",1,"Places"
"261","#sieve",1,"Places"
"262","#smem",1,"Emergency"
"263","#smemchatit",1,"Social_Media"
"264","#socialpro",1,"others"
"265","#sociaprociv",1,"others"
"266","#sospirodisollievo",1,"others"
"267","#sp38",1,"Mobility"
"268","#sp59",1,"Mobility"
"269","#sp63",1,"Mobility"
"270","#temporale",1,"Weather"
"271","#tos",1,"others"
"272","#toscan",1,"others"
"273","#treni",1,"Mobility"
"274","#twitter",1,"Social_Media"
"275","#unaltrastoria",1,"others"
"276","#zoagli",1,"Places"
"277","#zubbani",1,"Institution"
