"hashtag","freq"
"#allertameteotos",3166
"#carrara",375
"#toscana",373
"#allertameteolig",356
"#maltempo",180
"#versilia",136
"#pisa",133
"#elba",130
"#chiavari",122
"#pioggia",97
"#massa",94
