"authors","freq"
"muoversintoscan",426
"amtoscana",358
"Ossmeteobargone",67
"iltirreno",66
"flash_meteo",50
"cesipcrosignano",40
"valenitna",32
"MoniShantiRani",31
"ProtCMontignoso",30
"RadioPerusia",30
"0Zenzy",29
