"category","Nfreq","N_unique"
"others","3289","81"
"Places","2574","337"
"Outside_Places","673","72"
"Emergency","591","82"
"Weather","495","76"
"Mobility","349","46"
"Institution","54","14"
"Social_Media","3","3"
"Media","1","1"
