"authors","retweetCount"
"giosivi",94
"ansa_liguria",52
"italia_sicura",37
"LucaLombroso",33
"anbarone",27
"qn_lanazione",27
"ComuneRioElba",23
"Genova4Tourist",23
"FrancescaNacini",22
"steffy1967",21
"geoluc_mei",20
