"","hashtag","freq","cat"
"186","#A15",2,"Mobility"
"187","#Albinia",2,"Places"
"188","#allagamento",2,"Emergency"
"189","#AllertaMeteo",2,"Emergency"
"190","#allertameteoLOM",2,"Emergency"
"191","#allertameteoVEN",2,"Emergency"
"192","#AlluvioneCarrara",2,"Emergency"
"193","#Barga",2,"Places"
"194","#Berceto",2,"Places"
"195","#camaiore",2,"Places"
"196","#CampiBisenzio",2,"Places"
"197","#Cascina",2,"Places"
"198","#Cavo",2,"Places"
"199","#Ceprano",2,"Places"
"200","#Chiusi",2,"Places"
"201","#Equi",2,"Places"
"202","#frana",2,"Weather"
"203","#grosseto",2,"Places"
"204","#isola",2,"others"
"205","#italiainsicura",2,"others"
"206","#livorno",2,"Places"
"207","#lunigia",2,"others"
"208","#lunigiana",2,"Places"
"209","#Magliano",2,"Places"
"210","#Mare",2,"Weather"
"211","#Monsummano",2,"Places"
"212","#montignoso",2,"Places"
"213","#Montopoli",2,"Places"
"214","#nubifragio",2,"Weather"
"215","#perturbazione",2,"Weather"
"216","#Piano",2,"others"
"217","#PiazzaAlSerchio",2,"Places"
"218","#pietrasanta",2,"Places"
"219","#Pontedera",2,"Places"
"220","#previsioni",2,"others"
"221","#Riomarina",2,"Places"
"222","#Riparbella",2,"Places"
"223","#Roncobilaccio",2,"Places"
"224","#Rupinaro",2,"Places"
"225","#seravezza",2,"Places"
"226","#SP10",2,"Mobility"
"227","#SP445",2,"Mobility"
"228","#T",2,"others"
"229","#trameteo",2,"others"
"230","#Ve",2,"others"
"231","#Viareggio",2,"Places"
"232","#Abbadia",1,"Places"
"233","#Allagamenti",1,"Emergency"
"234","#alle",1,"others"
"235","#allerta",1,"Emergency"
"236","#Allerta",1,"Emergency"
"237","#allertamenteLIG",1,"Emergency"
"238","#AllertaMeteoLOM",1,"Emergency"
"239","#AllertaMeteoPIE",1,"Emergency"
"240","#allertameteoSIC",1,"Emergency"
"241","#alluvioneTOS",1,"Emergency"
