"category","NfreqLIG","NfreqTOS","NfreqPIE"
"Institution",2.4,44.3,2.4
"Media",3.7,14.6,30.2
"others",85.1,27.4,36.4
"Volunteer_NGO",0.5,2.7,3.4
"Weather",8.4,10.9,27.6
