"category","NfreqLIG","NfreqTOS","NfreqPIE"
"Institution",1,22.2,2.3
"Media",4.7,8.6,19
"others",89.8,49.6,63
"Volunteer_NGO",0.8,2.6,4.2
"Weather",3.8,16.9,11.5
