"category","NfreqLIG","NfreqTOS","NfreqPIE"
"Emergency",20.4,8.9,19
"Institution",2.3,1.4,3.8
"Media",0.8,0.1,0.2
"Mobility",1.2,7.4,1.9
"others",9.2,2.1,5.3
"Outside_Places",5.5,7.5,14.6
"Places",53.6,60.8,44.6
"Social_Media",0.1,0.1,0
"Time",0.1,0,0
"Weather",6.9,11.7,10.6
