"category","NfreqLIG","NfreqTOS","NfreqPIE"
"Emergency",1344,130,159
"Institution",149,21,32
"Media",54,1,2
"Mobility",77,108,16
"others",605,31,44
"Outside_Places",361,110,122
"Places",3528,890,373
"Social_Media",8,1,0
"Time",6,0,0
"Weather",454,172,89
