"category","NfreqLIG","NfreqTOS","NfreqPIE"
"Emergency",19.9,12.2,19.9
"Institution",1.1,1.1,3.2
"Media",0.3,0,0.1
"Mobility",1,7.2,1.9
"others",6.9,2.5,12.4
"Outside_Places",4.3,13.8,15.8
"Places",59.6,52.9,37.8
"Social_Media",0.1,0.1,0
"Time",0,0,0
"Weather",6.8,10.2,8.9
