"category","NfreqLIG","NfreqTOS","NfreqPIE"
"Institution",6.6,48,25.2
"Media",34.1,26.2,18.3
"others",45.2,8.4,27
"Volunteer_NGO",7.4,3.6,1.7
"Weather",6.8,13.8,27.8
