"category","NfreqLIG","NfreqTOS","NfreqPIE"
"Emergency",7495,591,552
"Institution",401,54,88
"Media",131,1,2
"Mobility",383,349,54
"others",2607,123,343
"Outside_Places",1635,673,437
"Places",22453,2574,1047
"Social_Media",29,3,0
"Time",13,0,0
"Weather",2549,495,248
