"","category","NfreqLIG","NfreqTOS","NfreqPIE"
"1","Emergency",7266,130,1070
"2","Institution",149,21,32
"3","Media",54,1,2
"4","Mobility",77,108,16
"5","others",605,948,44
"6","Outside_Places",361,110,122
"7","Places",3528,890,373
"8","Social_Media",8,1,NA
"9","Time",6,NA,NA
"10","Weather",454,172,89
