"category","NfreqLIG","N_uniqueLIG","NfreqTOS","N_uniqueTOS","NfreqPIE","N_uniquePIE"
"Institution","140","55","406","79","17","12"
"Media","217","106","134","71","212","49"
"others","5034","1841","251","160","256","143"
"Volunteer_NGO","30","13","25","17","24","12"
"Weather","494","130","100","44","194","32"
