"category","NfreqLIG","N_uniqueLIG","NfreqTOS","N_uniqueTOS","NfreqPIE","N_uniquePIE"
"Institution","139","51","108","43","29","5"
"Media","720","47","59","26","21","10"
"others","955","429","19","18","31","24"
"Volunteer_NGO","156","25","8","6","2","2"
"Weather","144","59","31","16","32","13"
