"hashtag","freq"
"#allertameteopm",675
"#allertameteopie",257
"#maltempo",71
"#allertameteolig",59
"#alessandria",40
"#piemonte",31
"#verbania",28
"#allertameteo",23
"#alessandrino",20
"#gavi",17
"#viabilità",17
