"authors","freq"
"ArpaPiemonte",175
"quotidianopiem",94
"diAlessandria",57
"Miti_Vigliero",40
"nastrorosa",38
"ilVergante",15
"giornaleprociv",14
"CRIcuneo",12
"DavideGavi",11
"vittoriopasteris",11
"Marinamas",9
