"mentions","freq"
"arpapiemonte",31
"pcproval",29
"quotidianopiem",11
"eliodefrani",5
"giornaleprociv",4
"la_stampa",4
"capitanachab",3
"caterinadoglio",3
"gianlucamorino",3
"micky_genova",3
"paolopoggio",3
