"authors","retweetCount"
"lubuwetter",45
"Annathelion",15
"valenitna",13
"Monica_torino",9
"enotecaliguria",6
"meteoonlineit",6
"piemonteis_org",6
"pier_mar",6
"italia_sicura",5
"Pedrito1954",5
"Italia_Social",4
