"","authors","freq","cat"
"190","FPiemontesaRos",2,"others"
"191","Fra__Ce",2,"others"
"192","FraBaraghini",2,"others"
"193","frafra61_rossi",2,"others"
"194","FrncscPltn",2,"others"
"195","gatta_selvatica",2,"others"
"196","GianniVezzani1",2,"others"
"197","Giov1947",2,"others"
"198","giovanni_dutto",2,"others"
"199","GraziaTardo",2,"others"
"200","icioweb73",2,"others"
"201","ilariolarosageo",2,"others"
"202","IlGuzzy",2,"others"
"203","inLanghe",2,"others"
"204","italia_24news",2,"Media"
"205","IZ2GAJ",2,"others"
"206","LaRiStampa2014",2,"Media"
"207","lilasart",2,"others"
"208","LorLiga",2,"others"
"209","Losille_",2,"others"
"210","lucazabapozzi",2,"others"
"211","LucianaCiolfi",2,"others"
"212","lukilotom",2,"others"
"213","madbob",2,"others"
"214","madmanbass",2,"others"
"215","mariagraziaber7",2,"others"
"216","marlonghin",2,"others"
"217","massimo_san",2,"others"
"218","Michelerussoing",2,"others"
"219","MisteriLago",2,"others"
"220","MonicaSella79",2,"others"
"221","mx5red1",2,"others"
"222","novajoinfo",2,"others"
"223","nzo1255",2,"others"
"224","O_franci_O",2,"others"
"225","OvadaonLine",2,"others"
"226","paola_faravelli",2,"others"
"227","parolesogni",2,"others"
"228","Patrizia0758",2,"others"
"229","Pedrito1954",2,"others"
"230","Photonat_it",2,"others"
"231","piemonte_is",2,"others"
"232","PistoneMoris",2,"others"
"233","PNGranParadiso",2,"Institution"
"234","ProCivTrezzanoR",2,"Institution"
"235","Rafagirl_TeamLH",2,"others"
"236","Reportermilano",2,"Media"
"237","Robbetta",2,"others"
"238","RobertoZunino1",2,"others"
"239","rogerverbalkint",2,"others"
"240","Rosy_Indy",2,"others"
"241","rptmtt",2,"others"
"242","S_Lor75",2,"others"
"243","scatellani79",2,"others"
"244","ScattiDLuce",2,"others"
"245","Sim0wrc",2,"others"
"246","simoscagliotti",2,"others"
"247","SML2020",2,"Media"
"248","sopcrivco",2,"Volunteer_NGO"
"249","Stefano_Corda",2,"others"
"250","Stefanosav1972",2,"others"
"251","strofuggi",2,"others"
"252","sulsitodisimone",2,"others"
"253","SVOGLIANO",2,"others"
"254","sydlsd",2,"others"
"255","Tixy_Cos",2,"others"
"256","TizianaCasini",2,"others"
"257","tranellio",2,"others"
"258","ValeriaTomei75",2,"others"
"259","zarquonit",2,"others"
"260","_MarcoSalaris",1,"others"
"261","_SoundOfThunder",1,"others"
"262","66_mush",1,"others"
"263","7sofficisoffi",1,"others"
"264","8888eric8888",1,"others"
