"hashtag","freq"
"#allertameteoPM",2193
"#allertameteoPIE",846
"#allertameteoLIG",212
"#maltempo",172
"#Alessandria",103
"#Piemonte",78
"#Viabilità",58
"#allertameteo",56
"#allertameteoP",50
"#orba",50
"#predosa",50
