"authors","freq"
"quotidianopiem",223
"ArpaPiemonte",175
"Ossmeteobargone",71
"diAlessandria",69
"Miti_Vigliero",50
"Stefano_Summa",50
"nastrorosa",49
"vittoriopasteris",40
"SOL_CRI_Giaveno",30
"ilVergante",26
"CRIcuneo",25
