"mentions","freq"
"arpapiemonte",925
"quotidianopiem",202
"3bmeteo",108
"gianlucamorino",78
"dialessandria",74
"pcproval",71
"frabaraghini",66
"miti_vigliero",59
"giornaleprociv",47
"danielekeshk",25
"capitanachab",23
