"","mentions","freq","cat"
"202","teleradiopace",2,NA
"203","tgla7",2,NA
"204","tristemietitore",2,"others"
"205","trovalalanterna",2,"others"
"206","tzn_lalla",2,"others"
"207","ugotruffelli",2,"others"
"208","uncuorexlavita",2,"others"
"209","vanni",2,"others"
"210","velaom",2,NA
"211","verncorn",2,"others"
"212","wasvirginia",2,"others"
"213","ziogian67",2,"others"
"214","2giromondo",1,NA
"215","acca_gi",1,"others"
"216","acquariovillage",1,NA
"217","actarus1070",1,"others"
"218","adilmauro",1,NA
"219","agenore64",1,NA
"220","agenzia_italia",1,NA
"221","alassioprociv",1,NA
"222","albengacorsara",1,"others"
"223","albertbonav91",1,"others"
"224","alefavapress",1,NA
"225","alemannotw",1,NA
"226","aleterrile",1,NA
"227","alex24592",1,"others"
"228","aliceborutti",1,"others"
"229","alyssaerudy",1,NA
"230","amatomata",1,NA
"231","ambiente_co",1,"others"
"232","amiugenova",1,NA
"233","andre76sp",1,NA
"234","andreafimma",1,NA
"235","andreaolivero",1,NA
"236","andregexx",1,NA
"237","angelatanania",1,"others"
"238","angelo_allegri",1,"others"
"239","angelobruno19",1,"others"
"240","anpaslazio",1,NA
"241","antociccozzi",1,NA
"242","antonellacrima2",1,"others"
"243","_antoniomorello",1,"others"
"244","antonsessa",1,"others"
"245","ap29483",1,"others"
"246","arabafenicevill",1,NA
"247","arpapiemonte",1,NA
"248","arpa_rischiome",1,NA
"249","autoconautista",1,"others"
"250","aziendalucia",1,"others"
"251","beppe_grillo",1,NA
"252","biggiale",1,"others"
"253","bluenod",1,NA
"254","blunico72",1,"others"
"255","brunovespa",1,NA
"256","calb71",1,"others"
"257","campussavona",1,NA
"258","canilecosenza",1,NA
"259","cappu",1,NA
"260","carlopoggi",1,"others"
"261","caterpillaram",1,NA
"262","cghila",1,"others"
"263","cgilnazionale",1,"others"
"264","citazioniratman",1,"others"
"265","cleliamussari",1,"others"
"266","cogonidaniele",1,"others"
"267","comemusica",1,"others"
"268","cometlibe",1,"others"
"269","comuneimperia",1,NA
"270","comunespezia",1,"Institution"
"271","comunespeziacoc",1,NA
"272","confcooperativ1",1,"others"
"273","cooperativeita",1,NA
"274","corriereitbombe",1,NA
"275","corriereitgenovafrana",1,NA
"276","cotrozzi_lisa",1,"others"
"277","criliguria",1,NA
"278","crinviaggio",1,NA
"279","criprevi",1,"others"
"280","cronacasavona",1,NA
"281","curvadelvento",1,"others"
"282","dadag84",1,"others"
"283","danieleburtoli",1,NA
"284","danielekeshk",1,"others"
"285","davidemazzarell",1,"others"
"286","davvedder",1,"Weather"
"287","debortolif",1,NA
"288","demepoker",1,"others"
"289","deputatipd",1,NA
"290","didinellanord",1,NA
"291","diegomozzo",1,"others"
"292","dmaxitalia",1,NA
"293","dominoalberto",1,"others"
"294","dpcpat1",1,NA
"295","edorepe93",1,"others"
"296","eingrassia",1,"others"
"297","emerge67",1,"others"
"298","emergenza24pro",1,"Volunteer_NGO"
"299","enotecaliguria",1,"others"
"300","enricocoltri1",1,"others"
"301","enzlat",1,NA
"302","enzos85",1,"others"
"303","erasmodangelis",1,"others"
"304","espoartemag",1,NA
"305","fabiocaninoreal",1,"others"
"306","fabrivalenza",1,"others"
"307","fabriziofarelli",1,NA
"308","fabrypianetti",1,"others"
"309","fciommei4",1,"others"
"310","fedagri",1,NA
"311","federicimassimo",1,"others"
"312","federugby",1,NA
"313","fedeshots",1,"others"
"314","fieradigenova",1,"others"
"315","filippotimi",1,NA
"316","flavialovestara",1,NA
"317","fo1984",1,"others"
"318","fornarisusi",1,NA
"319","fra_marchese",1,"others"
"320","francescabales1",1,"others"
"321","freaklancenet",1,NA
"322","frysalvi1",1,"others"
"323","gabrymalvagia",1,"others"
"324","gaetano_rizza",1,"others"
"325","gasirianni",1,"others"
"326","gasparripdl",1,"others"
"327","gassmangassmann",1,NA
"328","gazzettareggioe",1,"Media"
"329","genovamilano",1,NA
"330","genovapostnews",1,NA
"331","gerrygreco",1,"others"
"332","ghiglino1893",1,"others"
"333","ghiovale",1,NA
