"category","Nfreq","N_unique"
"Emergency","7266","301"
"Places","3528","769"
"others","605","455"
"Weather","454","104"
"Outside_Places","361","113"
"Institution","149","105"
"Mobility","77","51"
"Media","54","35"
"Social_Media","8","6"
"Time","6","6"
