"hashtag","freq"
"#allertameteoLIG",5922
"#Genova",609
"#allerta2",278
"#genova",275
"#Chiavari",258
"#Liguria",176
"#alluvionegenova",138
"#maltempo",113
"#alluvioneChiavari",76
"#Albenga",73
"#liguria",72
