"mentions","freq"
"primocanale",659
"emergenza24",146
"miti_vigliero",125
"frabaraghini",96
"ilsecoloxix",80
"arpal_rischiome",56
"meteolimet",55
"protcivilege",49
"genesdegenes",45
"eneriemrap",38
"comunedigenova",35
