"","authors","freq","cat"
"184","AbbadiaNews",0,"Media"
"185","AbsitIV",0,"others"
"186","abunabuana",0,"others"
"187","AdePisano",0,"others"
"188","AdyAzza",0,"others"
"189","agente00fette1",0,"others"
"190","AgorLerici",0,"others"
"191","Aiannuzzi",0,"others"
"192","aiazzi71",0,"others"
"193","aila980",0,"others"
"194","alberto79",0,"others"
"195","Ale_DiLuzio",0,"others"
"196","alemaggiani",0,"others"
"197","alemassimo00",0,"others"
"198","AlessandraDiara",0,"others"
"199","Alessandro2912",0,"others"
"200","alexbart81",0,"others"
"201","alexgiamby",0,"others"
"202","AlfredoBertagna",0,"others"
"203","Alicedistillata",0,"others"
"204","alina_szecsodi",0,"others"
"205","AMatraia",0,"others"
"206","ameliacarlevaro",0,"others"
"207","amiatanews",0,"Media"
"208","AMISinfo",0,"others"
"209","And_CL",0,"others"
"210","andrea2007nanni",0,"others"
"211","AndreaSkeeter",0,"others"
"212","ANDREAZANETTIN",0,"others"
"213","angeladileo2013",0,"others"
"214","ANGELOCONCAS1",0,"others"
"215","anna_dtt",0,"others"
"216","annabelladellac",0,"others"
"217","AnnaBernacchiRo",0,"others"
"218","Annathelion",0,"others"
"219","AnpasToscana",0,"Volunteer_NGO"
"220","ansa_lazio",0,"Media"
"221","ansa_liguria",0,"Media"
"222","ansa_lombardia",0,"Media"
"223","ansa_marche",0,"Media"
"224","antgentile",0,"others"
"225","antimo23574",0,"others"
"226","AntoDiMario",0,"others"
"227","antonellavagli3",0,"others"
"228","AntonSessa",0,"others"
"229","antosupersport",0,"others"
"230","apock",0,"others"
"231","aranciaverde",0,"others"
"232","ariannafaenzi",0,"others"
"233","arielmilly",0,"others"
"234","armido",0,"others"
"235","ARoccaBonini",0,"others"
"236","AronneA",0,"others"
"237","arredi_sardi",0,"others"
"238","ArrigoPierotti",0,"others"
"239","aruspices2003",0,"others"
"240","ascapuzzi",0,"others"
"241","ascenzapisoni",0,"others"
"242","asquirix",0,"others"
"243","AssaporAparma",0,"others"
"244","AuroraBigoni",0,"others"
"245","avvelenato1970",0,"others"
"246","azzurrab1976",0,"others"
"247","B_Chelli",0,"others"
"248","BaboniFrancesca",0,"others"
"249","bacci7_bacci",0,"others"
"250","BaldiDario",0,"others"
"251","Baldinix",0,"others"
"252","bardidonata",0,"others"
"253","battasilvia",0,"others"
"254","bc_emergenza",0,"Volunteer_NGO"
"255","beppe1965",0,"others"
"256","berlinste",0,"others"
"257","BestVersilia",0,"others"
"258","Betazoide",0,"others"
"259","betty_castelli",0,"others"
"260","biciversilia",0,"others"
"261","binoshiro",0,"others"
"262","Biofafafa",0,"others"
"263","biosimply",0,"others"
"264","Bobetta2",0,"others"
"265","boldrike",0,"others"
"266","BOVIZZA",0,"others"
"267","BrunoBongi",0,"others"
"268","bubbolino1973",0,"others"
"269","Buselli_Marco",0,"others"
"270","c_briguglio",0,"others"
"271","Cafeponci",0,"others"
"272","calogerog",0,"others"
"273","cantafulvio",0,"others"
"274","cardiff66wales",0,"others"
"275","caremani",0,"others"
"276","Carlo_A_Berti",0,"others"
"277","CarloBencini",0,"others"
"278","CattoAngelo",0,"others"
"279","Cereal_Killer78",0,"others"
"280","Cesvot",0,"Volunteer_NGO"
"281","chiarabale",0,"others"
"282","ChiaraBianchini",0,"others"
"283","ChiaraPeggy",0,"others"
"284","chiarapellegri9",0,"others"
"285","ChiccaTorelli",0,"others"
"286","chicco22em",0,"others"
"287","Cisiamocisom",0,"others"
"288","cisomgenova",0,"Volunteer_NGO"
"289","CittadinidiTwtt",0,"Media"
"290","clagher",0,"others"
"291","Claudia77cla",0,"others"
"292","claudialanzoni",0,"others"
"293","ClaudiaLubrani",0,"others"
"294","claudiofele",0,"others"
"295","CleliaMussari",0,"others"
"296","CMeteo",0,"Weather"
"297","Coccynella500",0,"others"
"298","ColomboWatch",0,"others"
"299","ColucciniA",0,"others"
"300","com251070",0,"others"
"301","comCavriglia",0,"Institution"
"302","comunalifirenze",0,"others"
"303","ComunediGenova",0,"Institution"
"304","ComuneEmpoli",0,"Institution"
"305","ComuneMontelupo",0,"Institution"
"306","ComuneOrbetello",0,"Institution"
"307","ComuneVolterra",0,"Institution"
"308","confcooppisa",0,"others"
"309","criQuadrelli",0,"others"
"310","crislomb",0,"Volunteer_NGO"
"311","Criss76Cristina",0,"others"
"312","cristianasem",0,"others"
"313","cristigalas",0,"others"
"314","crocegiallafalc",0,"Volunteer_NGO"
"315","cucca04",0,"others"
"316","cucinaspontanea",0,"others"
"317","Cupolone1965",0,"others"
"318","d_ottelli",0,"others"
"319","dalila8936372",0,"others"
"320","Damiano_Pagani",0,"others"
"321","damy85twit",0,"others"
"322","danielecina",0,"others"
"323","DanieleConfetti",0,"others"
"324","danife75",0,"others"
"325","danteferraris",0,"others"
"326","DariaVampy",0,"others"
"327","Davide_Manduca",0,"others"
"328","davvedder",0,"others"
"329","dbargel",0,"others"
"330","deborahmenna",0,"others"
"331","DelDottoSindaco",0,"others"
"332","DettoBene",0,"others"
"333","dexmac221",0,"others"
"334","dicducfacfer18",0,"others"
"335","diemmedi",0,"others"
"336","Dirittoambiente",0,"others"
"337","discoverydogs",0,"others"
"338","diserzione",0,"others"
"339","DiversiEnrico",0,"others"
"340","djsergiop",0,"others"
"341","dmazzi96",0,"others"
"342","dntbrn",0,"others"
"343","do_navari",0,"others"
"344","DolomitesDeli",0,"others"
"345","donatobuc",0,"others"
"346","donnadimezzo",0,"others"
"347","Dott_Bianchi",0,"others"
"348","DrZappala",0,"others"
"349","DTorrechiara",0,"others"
"350","Duhastnichts",0,"others"
"351","EdoardoPrestant",0,"others"
"352","eduardobernal",0,"others"
"353","EffimeraAlkimia",0,"others"
"354","El_tuga1",0,"others"
"355","eleghila",0,"others"
"356","elenoire1966",0,"others"
"357","elihh3",0,"others"
"358","ElisaVipera86",0,"others"
"359","ElisRomoli",0,"others"
"360","EliVannozzi",0,"others"
"361","emanuelecuore",0,"others"
"362","EmanueleFirenze",0,"others"
"363","EMencattini",0,"others"
"364","Emergenza24",0,"Volunteer_NGO"
"365","Emergenza24Pro",0,"Volunteer_NGO"
"366","EMIC_Gagliardi",0,"others"
"367","EmpoliValdelsa",0,"Institution"
"368","EnricoPietro",0,"others"
"369","EnzoA24",0,"others"
"370","epicenterx",0,"others"
"371","EpicenterxItaly",0,"others"
"372","ERA_Arenzano",0,"others"
"373","ErasmoDAngelis",0,"others"
"374","ErbaSelvatica",0,"others"
"375","erykaluna",0,"others"
"376","EUROPAITALIA",0,"others"
"377","ezekiel",0,"others"
"378","fabiofagorzi",0,"others"
"379","FabioIozzi",0,"others"
"380","fabiopi1000",0,"others"
"381","fakerrimo",0,"others"
"382","falcorossi1",0,"others"
"383","FataTurchinaTw",0,"others"
"384","faustalissia",0,"others"
"385","FaviniSilvia",0,"others"
"386","FBerneri",0,"others"
"387","FedeDeGiacomo",0,"others"
"388","federicapoliti",0,"others"
"389","FedeRn70",0,"others"
"390","fedevab",0,"others"
"391","FeniceArabo",0,"others"
"392","ferdinandomore2",0,"others"
"393","FeronFabio",0,"others"
"394","festeggiantina",0,"others"
"395","fiammanera74",0,"others"
"396","fiammettaga",0,"others"
"397","FiloPucci",0,"others"
"398","fiordisale",0,"others"
"399","floramc",0,"others"
"400","fojarol",0,"others"
"401","ForzaCarrara",0,"others"
"402","fotofrancosilvi",0,"others"
"403","FPasquinucci",0,"others"
"404","fra_marchese",0,"others"
"405","francang1950",0,"others"
"406","francegori",0,"others"
