"authors","freq"
"muoversintoscan",298
"flash_meteo",50
"iltirreno",38
"cesipcrosignano",30
"Prov_FI_PC",16
"toscanamedianew",16
"landucci_v",13
"turiniale",13
"3BMeteo",12
"ProCivSeravezza",12
"Protcivnews",12
