"","hashtag","freq","cat"
"182","#cecina",1,"Places"
"183","#CECINA",1,"Places"
"184","#Centro",1,"others"
"185","#cfr",1,"Institution"
"186","#Chianciano",1,"Places"
"187","#Chiavariallagata",1,"Emergency"
"188","#Chioma",1,"Places"
"189","#Codiponte",1,"Places"
"190","#Colareta",1,"others"
"191","#Collesalvetti",1,"Places"
"192","#Colombo",1,"others"
"193","#ComuneRioElba",1,"Places"
"194","#Cortona",1,"Places"
"195","#CRI",1,"Institution"
"196","#Cronacameteo",1,"Weather"
"197","#Cutigliano",1,"Places"
"198","#denunciailpatto",1,"others"
"199","#Dicomano",1,"Places"
"200","#difesadelsuolo",1,"others"
"201","#empoli",1,"Places"
"202","#Empoli",1,"Places"
"203","#Evacuazioni",1,"Emergency"
"204","#famiglie",1,"others"
"205","#Fi",1,"Places"
"206","#Filattiera",1,"Places"
"207","#Fipili",1,"Mobility"
"208","#fulmine",1,"Weather"
"209","#Fulmine",1,"Weather"
"210","#gaiaspa",1,"Institution"
"211","#GAIB",1,"others"
"212","#Galilei",1,"Mobility"
"213","#Gragnola",1,"Places"
"214","#Grossetano",1,"Places"
"215","#italiainsicura",1,"others"
"216","#Lajatico",1,"Places"
"217","#LaSpezia",1,"Places"
"218","#Lazio",1,"Places"
"219","#LIVORNO",1,"Places"
"220","#LUCCA",1,"Places"
"221","#lunigiana",1,"Places"
"222","#Magliano",1,"Places"
"223","#MAREMMA",1,"Places"
"224","#MarinadiCarrara",1,"Places"
"225","#MarioMTV",1,"Media"
"226","#Marsiliana",1,"Places"
"227","#Metato",1,"Places"
"228","#meteovaldarno",1,"Places"
"229","#Migliarino",1,"Places"
"230","#Minucciano",1,"Places"
"231","#Monsummano",1,"Places"
"232","#MontecatiniValDiCecina",1,"Places"
"233","#MontePisano",1,"Places"
"234","#Montieri",1,"Places"
"235","#Mugello",1,"Places"
"236","#Mugnone",1,"Places"
"237","#Navacchio",1,"Places"
"238","#negozi",1,"others"
"239","#NonAbbandonareLaCittá",1,"others"
"240","#nubifragio",1,"Weather"
"241","#occupycarrara",1,"Places"
"242","#ombrone",1,"Places"
"243","#Ombrone",1,"Places"
"244","#ordinanza",1,"others"
"245","#paura",1,"others"
"246","#perturbazione",1,"Weather"
"247","#Piano",1,"others"
"248","#Piemonte",1,"Places"
"249","#piena",1,"Weather"
"250","#pietrasanta",1,"Places"
"251","#piogge",1,"Weather"
"252","#Pioggia",1,"Weather"
"253","#pistoia",1,"Places"
"254","#pomarance",1,"Places"
"255","#ponteginori",1,"Places"
"256","#pontremoli",1,"Places"
"257","#prevenzione",1,"others"
"258","#previsioni",1,"others"
"259","#Riomarina",1,"Places"
"260","#Ripafratta",1,"Places"
"261","#Riparbella",1,"Places"
"262","#Roma",1,"Places"
"263","#Roncobilaccio",1,"Places"
"264","#SanVincenzo",1,"Places"
"265","#Sardegna",1,"Places"
"266","#saturnia",1,"Places"
"267","#Saturnia",1,"Places"
"268","#scarlino",1,"Places"
"269","#Scarperia",1,"Places"
"270","#Secchio",1,"others"
"271","#seravezza",1,"Places"
"272","#servizi",1,"others"
"273","#Sieve",1,"Places"
"274","#socialprociv",1,"Emergency"
"275","#sociaprociv",1,"others"
"276","#SospiroDiSollievo",1,"others"
"277","#SP10",1,"Mobility"
"278","#SP106",1,"Mobility"
"279","#SP172",1,"Mobility"
"280","#SP38",1,"Mobility"
"281","#SP445",1,"Mobility"
"282","#SP59",1,"Mobility"
"283","#SP63",1,"Mobility"
"284","#SR74",1,"Mobility"
"285","#temporale",1,"Weather"
"286","#trameteo",1,"others"
"287","#Treni",1,"Mobility"
"288","#twitter",1,"Social_Media"
"289","#uffici",1,"others"
"290","#Uffizi",1,"Institution"
"291","#unaltrastoria",1,"others"
"292","#ValdiCecina",1,"Places"
"293","#ValDiCornia",1,"Places"
"294","#Verrazzano",1,"Places"
"295","#viareggio",1,"Places"
"296","#Villafranca",1,"Places"
"297","#wikiclima",1,"Weather"
"298","#Zoagli",1,"Places"
"299","#Zubbani",1,"Institution"
