"","hashtag","freq","cat"
"192","#montieri",1,"Places"
"193","#mugello",1,"Places"
"194","#mugnone",1,"Places"
"195","#navacchio",1,"Places"
"196","#negozi",1,"others"
"197","#nonabbandonarelacittá",1,"others"
"198","#nubifragio",1,"Weather"
"199","#occupycarrara",1,"Places"
"200","#ordinanza",1,"others"
"201","#paura",1,"others"
"202","#perturbazione",1,"Weather"
"203","#piano",1,"others"
"204","#piemonte",1,"Places"
"205","#piena",1,"Weather"
"206","#piogge",1,"Weather"
"207","#pomarance",1,"Places"
"208","#ponteginori",1,"Places"
"209","#prevenzione",1,"others"
"210","#previsioni",1,"others"
"211","#ripafratta",1,"Places"
"212","#riparbella",1,"Places"
"213","#roma",1,"Places"
"214","#roncobilaccio",1,"Places"
"215","#sanvincenzo",1,"Places"
"216","#sardegna",1,"Places"
"217","#scarperia",1,"Places"
"218","#secchio",1,"others"
"219","#servizi",1,"others"
"220","#sieve",1,"Places"
"221","#socialprociv",1,"Emergency"
"222","#sociaprociv",1,"others"
"223","#sospirodisollievo",1,"others"
"224","#sp10",1,"Mobility"
"225","#sp106",1,"Mobility"
"226","#sp172",1,"Mobility"
"227","#sp38",1,"Mobility"
"228","#sp445",1,"Mobility"
"229","#sp59",1,"Mobility"
"230","#sp63",1,"Mobility"
"231","#sr74",1,"Mobility"
"232","#temporale",1,"Weather"
"233","#trameteo",1,"others"
"234","#treni",1,"Mobility"
"235","#twitter",1,"Social_Media"
"236","#uffici",1,"others"
"237","#uffizi",1,"Institution"
"238","#unaltrastoria",1,"others"
"239","#valdicecina",1,"Places"
"240","#valdicornia",1,"Places"
"241","#verrazzano",1,"Places"
"242","#viareggio",1,"Places"
"243","#villafranca",1,"Places"
"244","#wikiclima",1,"Weather"
"245","#zoagli",1,"Places"
"246","#zubbani",1,"Institution"
