"category","Nfreq","N_unique"
"Emergency","1047","92"
"Places","890","304"
"Weather","172","64"
"Outside_Places","110","55"
"Mobility","108","45"
"others","31","31"
"Institution","21","12"
"Media","1","1"
"Social_Media","1","1"
